LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList,blk_id,label
1,81109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,E2,PacketResponder <*> for block <*> terminating,"['1', 'blk_38865049064139660']",['blk_38865049064139660'],Normal
2,81109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,E2,PacketResponder <*> for block <*> terminating,"['0', 'blk_-6952295868487656571']",['blk_-6952295868487656571'],Normal
3,81109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,E13,BLOCK* NameSystem.addStoredBlock blockMap updated <*> 50010 is added to <*> size <*>,"['10.251.73.220', 'blk_7128370237687728475', '67108864']",['blk_7128370237687728475'],Normal
4,81109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,E2,PacketResponder <*> for block <*> terminating,"['2', 'blk_8229193803249955061']",['blk_8229193803249955061'],Normal
5,81109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,E2,PacketResponder <*> for block <*> terminating,"['2', 'blk_-6670958622368987959']",['blk_-6670958622368987959'],Normal
6,81109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,E13,BLOCK* NameSystem.addStoredBlock blockMap updated <*> 50010 is added to <*> size <*>,"['10.251.43.115', 'blk_3050920587428079149', '67108864']",['blk_3050920587428079149'],Normal
7,81109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,E13,BLOCK* NameSystem.addStoredBlock blockMap updated <*> 50010 is added to <*> size <*>,"['10.251.203.80', 'blk_7888946331804732825', '67108864']",['blk_7888946331804732825'],Normal
8,81109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,E13,BLOCK* NameSystem.addStoredBlock blockMap updated <*> 50010 is added to <*> size <*>,"['10.250.11.85', 'blk_2377150260128098806', '67108864']",['blk_2377150260128098806'],Normal
9,81109,204525,512,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_572492839287299681 terminating,E2,PacketResponder <*> for block <*> terminating,"['2', 'blk_572492839287299681']",['blk_572492839287299681'],Normal
10,81109,204655,556,INFO,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,E3,Received block <*> of size <*> from <*>,"['blk_3587508140051953248', '67108864', '10.251.42.84']",['blk_3587508140051953248'],Normal
11,81109,204722,567,INFO,dfs.DataNode$PacketResponder,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,E3,Received block <*> of size <*> from <*>,"['blk_5402003568334525940', '67108864', '10.251.214.112']",['blk_5402003568334525940'],Normal
12,81109,204815,653,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,E10,Receiving block <*> src <*> <*> dest <*> 50010,"['blk_5792489080791696128', '/10.251.30.6:33145', '/10.251.30.6']",['blk_5792489080791696128'],Normal
13,81109,204842,663,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,E10,Receiving block <*> src <*> <*> dest <*> 50010,"['blk_1724757848743533110', '/10.251.111.130:49851', '/10.251.111.130']",['blk_1724757848743533110'],Normal
14,81109,204908,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,E13,BLOCK* NameSystem.addStoredBlock blockMap updated <*> 50010 is added to <*> size <*>,"['10.251.110.8', 'blk_8015913224713045110', '67108864']",['blk_8015913224713045110'],Normal
15,81109,204925,673,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,E10,Receiving block <*> src <*> <*> dest <*> 50010,"['blk_-5623176793330377570', '/10.251.75.228:53725', '/10.251.75.228']",['blk_-5623176793330377570'],Normal
16,81109,205035,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,E6,BLOCK* NameSystem.allocateBlock <*> <*>,"['', '/user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100']",['/user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100'],Unavailable
17,81109,205056,710,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_5017373558217225674 terminating,E2,PacketResponder <*> for block <*> terminating,"['1', 'blk_5017373558217225674']",['blk_5017373558217225674'],Normal
18,81109,205157,752,INFO,dfs.DataNode$PacketResponder,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,E3,Received block <*> of size <*> from <*>,"['blk_9212264480425680329', '67108864', '10.251.123.1']",['blk_9212264480425680329'],Normal
19,81109,205315,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,E6,BLOCK* NameSystem.allocateBlock <*> <*>,"['', '/user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702']",['/user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702'],Unavailable
20,81109,205409,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,E13,BLOCK* NameSystem.addStoredBlock blockMap updated <*> 50010 is added to <*> size <*>,"['10.251.111.130', 'blk_4568434182693165548', '67108864']",['blk_4568434182693165548'],Normal
21,81109,205412,832,INFO,dfs.DataNode$PacketResponder,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,E3,Received block <*> of size <*> from <*>,"['blk_-5704899712662113150', '67108864', '10.251.91.229']",['blk_-5704899712662113150'],Normal
22,81109,205632,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,E13,BLOCK* NameSystem.addStoredBlock blockMap updated <*> 50010 is added to <*> size <*>,"['10.251.74.79', 'blk_-4794867979917102672', '67108864']",['blk_-4794867979917102672'],Normal
23,81109,205739,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,E13,BLOCK* NameSystem.addStoredBlock blockMap updated <*> 50010 is added to <*> size <*>,"['10.251.38.197', 'blk_8763662564934652249', '67108864']",['blk_8763662564934652249'],Normal
24,81109,205742,1001,INFO,dfs.DataNode$PacketResponder,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,E3,Received block <*> of size <*> from <*>,"['blk_-5861636720645142679', '67108864', '10.251.70.211']",['blk_-5861636720645142679'],Normal
